,Charge,NW.Counts,SF.Counts,Description,Chapter,Section,Expungeable.,tempID,Reason not expungeable,Statute,Analysis notes
338,MDC WATERSHEDMV VIOLATION  350 CMR §11.09,19,0,MDC WATERSHEDMV VIOLATION  350 CMR §11.09,350,11.09,na,338,CMR code violation,CMR code violation,
339,MDC WATERSHED¿NON-MV VIOLATION 350 CMR §11.09,0,55,MDC WATERSHED¿NON-MV VIOLATION 350 CMR §11.09,350,11.09,na,339,CMR code violation,CMR code violation,
340,MDC WATERSHED¿MV VIOLATION 350 CMR §11.09,0,5,MDC WATERSHED¿MV VIOLATION 350 CMR §11.09,350,11.09,na,340,CMR code violation,CMR code violation,
341,MDC¿CHARLES RIVER BASIN VIOLATION 350 CMR §12.02,0,1,MDC¿CHARLES RIVER BASIN VIOLATION 350 CMR §12.02,350,12.02,na,341,CMR code violation,CMR code violation,
342,MDC WAY/RESERVNON-MV VIOLATION 350 CMR §2.01(2),1,0,MDC WAY/RESERVNON-MV VIOLATION 350 CMR §2.01(2),350,2.01(2),na,342,CMR code violation,CMR code violation,
343,MDC WAY/RESERV¿NON-MV VIOLATION 350 CMR §2.01(2),0,39,MDC WAY/RESERV¿NON-MV VIOLATION 350 CMR §2.01(2),350,2.01(2),na,343,CMR code violation,CMR code violation,
344,"MDC WAY/RESERV¿ENTRY/EXIT, IMPROPER MV * 350 CMR §2.01(2)",0,14,"MDC WAY/RESERV¿ENTRY/EXIT, IMPROPER MV * 350 CMR §2.01(2)",350,2.01(2),na,344,CMR code violation,CMR code violation,
345,MDC WAY¿SOLICITING FROM PERSONS IN MVS 350 CMR §4.01,0,14,MDC WAY¿SOLICITING FROM PERSONS IN MVS 350 CMR §4.01,350,350 CMR §4.01,na,345,CMR code violation,CMR code violation,
346,"MEDICAL MARIJUANA CARD/CULTIVATION REG, FRAUD USE PROFIT c369 §14",0,1,"MEDICAL MARIJUANA CARD/CULTIVATION REG, FRAUD USE PROFIT",369,14,na,346,CMR code violation,CMR code violation,
347,MOTOR VEH INSPECTION STATION VIOLATION 540 CMR §4.00,7,3,MOTOR VEH INSPECTION STATION VIOLATION 540 CMR §4.00,540,4,na,347,CMR code violation,CMR code violation,
348,MOTOR CARRIER SAFETY VIOLATION 540 CMR §14.03,9,19,MOTOR CARRIER SAFETY VIOLATION 540 CMR §14.03,540,14.03,na,348,CMR code violation,CMR code violation,
349,HAZARDOUS MATERIALS TRANSPORT VIOL * 540 CMR §14.03,0,1,HAZARDOUS MATERIALS TRANSPORT VIOL * 540 CMR §14.03,540,14.03,na,349,CMR code violation,CMR code violation,
350,REGISTRATION STICKER MISSING * 540 CMR §2.05(6)(a),36,68,REGISTRATION STICKER MISSING * 540 CMR §2.05(6)(A),540,2.05(6)(a),na,350,CMR code violation,CMR code violation,
351,"HEADLIGHTS, FAIL DIM * 540 CMR §2.12(2)",0,1,"HEADLIGHTS, FAIL DIM * 540 CMR §2.12(2)",540,2.12(2),na,351,CMR code violation,CMR code violation,
352,"AFTERMARKET LIGHTING, NONCOMPLIANT * 540 CMR §22.07",8,18,"AFTERMARKET LIGHTING, NONCOMPLIANT * 540 CMR §22.07",540,22.07,na,352,CMR code violation,CMR code violation,
353,TRUCK FAIL DISPLAY OWNER¿S NAME * 540 CMR §2.22(1),0,12,TRUCK FAIL DISPLAY OWNER¿S NAME * 540 CMR §2.22(1),540,2.22(1),na,353,CMR code violation,CMR code violation,
354,REGISTRATION STICKER MISSING * 540 CMR §2.24(3),0,2,REGISTRATION STICKER MISSING * 540 CMR §2.24(3),540,2.24(3),na,354,CMR code violation,CMR code violation,
355,"NUMBER PLATE, MISUSE DEALER/REPAIR 540 CMR §18.04(2)",4,8,"NUMBER PLATE, MISUSE DEALER/REPAIR 540 CMR §18.04(2)",540,18.04(2),na,355,CMR code violation,CMR code violation,
356,"HEADLIGHTS, FAIL DIM * 540 CMR §22.05(2)",47,17,"HEADLIGHTS, FAIL DIM * 540 CMR §22.05(2)",540,22.05(2),na,356,CMR code violation,CMR code violation,
357,"HEADLIGHTS, ALTERNATING FLASHING * 540 CMR §22.05(2)",2,2,"HEADLIGHTS, ALTERNATING FLASHING * 540 CMR §22.05(2)",540,22.05(2),na,357,CMR code violation,CMR code violation,
358,MASS PIKE¿NEGLIGENT OPERATION * 700 CMR §7.09(5)(a),0,49,MASS PIKE¿NEGLIGENT OPERATION * 700 CMR §7.09(5)(A),700,7.09(5)(a),na,358,CMR code violation,CMR code violation,
359,MASS PIKE¿MARKED LANES VIOLATION * 700 CMR §7.09(5)(a),0,18,MASS PIKE¿MARKED LANES VIOLATION * 700 CMR §7.09(5)(A),700,7.09(5)(a),na,359,CMR code violation,CMR code violation,
